repeat,sample,opt_obj,upper_bound,lower_bound,total_iterations,exact_iterations,inexact_iterations,total_time,total_time_master,total_time_subproblem_exact,total_time_subproblem_pdl,investments
0,45,17310338.56754962,17310338.5675496,17310338.5675496,99,99,0,1.7803399562835693,0.9529376029968262,0.8274023532867432,0,"[69.0, -0.0, 159.0, 2481.0, 33.0, 126.0]"
0,46,15817802.19130886,15817802.191308865,15817802.191308863,96,96,0,1.9325501918792725,1.1240317821502686,0.8085184097290039,0,"[46.0, -0.0, 168.0, 2342.0, 34.0, 129.0]"
0,47,20052211.00257899,20052211.002579004,20052211.002579004,80,80,0,1.5115835666656494,0.8430836200714111,0.6684999465942383,0,"[69.0, -0.0, 190.0, 3023.0, 39.0, 16.0]"
0,48,17677233.065249786,17677233.065249793,17677233.065249793,104,104,0,2.183851480484009,1.312990665435791,0.8708608150482178,0,"[49.0, 2.0, 188.0, 2502.0, 38.0, 199.0]"
0,49,17709224.99598109,17709224.995981105,17709224.995981105,86,86,0,1.6590008735656738,0.9470598697662354,0.7119410037994385,0,"[60.0, -0.0, 181.0, 2806.0, 38.0, 110.0]"
0,50,18443384.380119644,18443384.38011965,18443384.38011965,98,98,0,1.9080779552459717,1.0675971508026123,0.8404808044433594,0,"[61.0, -0.0, 177.0, 2514.0, 39.0, 78.0]"
0,51,21217155.030631553,21217155.030631542,21217155.030631542,79,79,0,1.0300090312957764,0.36018896102905273,0.6698200702667236,0,"[60.0, -0.0, 179.0, 3693.0, 41.0, 61.0]"
0,52,19283761.242272943,19283761.242272936,19283761.242272936,82,82,0,1.4336225986480713,0.7566392421722412,0.6769833564758301,0,"[68.0, -0.0, 192.0, 2606.0, 40.0, 3.0]"
0,53,20061173.857876804,20061173.857876807,20061173.857876807,88,88,0,1.7981946468353271,1.0556886196136475,0.7425060272216797,0,"[75.0, 1.0, 193.0, 2747.0, 40.0, 157.0]"
0,54,20557555.07703166,20557555.077031642,20557555.077031646,95,95,0,1.7271127700805664,0.9328780174255371,0.7942347526550293,0,"[75.0, 1.0, 207.0, 2402.0, 42.0, -0.0]"
0,55,22223956.22668862,22223956.22668863,22223956.226688627,65,65,0,1.017859697341919,0.49468040466308594,0.523179292678833,0,"[84.0, 10.0, 205.0, 2091.0, 44.0, -0.0]"
0,56,22869762.527997322,22869762.527997352,22869762.52799735,83,83,0,1.8173532485961914,1.1241490840911865,0.6932041645050049,0,"[57.0, 5.0, 227.0, 2096.0, 45.0, 24.0]"
0,57,29005885.51427178,29005885.51427179,29005885.514271792,46,46,0,0.6521985530853271,0.27208662033081055,0.3801119327545166,0,"[83.0, -0.0, 242.0, -0.0, 55.0, 9.0]"
0,58,28138677.498737667,28138677.498737667,28138677.498737663,51,51,0,0.6911370754241943,0.28139233589172363,0.4097447395324707,0,"[94.0, 2.0, 230.0, -0.0, 53.0, -0.0]"
0,59,24355663.033161387,24355663.033161383,24355663.033161387,69,69,0,1.3497669696807861,0.7767195701599121,0.573047399520874,0,"[90.0, -0.0, 235.0, 2995.0, 49.0, -0.0]"
0,60,25298563.24519529,25298563.24519529,25298563.24519529,52,52,0,0.8916146755218506,0.46030259132385254,0.43131208419799805,0,"[92.0, -0.0, 248.0, 1864.0, 48.0, -0.0]"
0,61,26858183.452747744,26858183.45274774,26858183.452747747,52,52,0,0.8838205337524414,0.4540059566497803,0.42981457710266113,0,"[83.0, -0.0, 247.0, 3019.0, 50.0, -0.0]"
0,62,25634222.218595367,25634222.218595378,25634222.218595378,50,50,0,0.6938271522521973,0.2898683547973633,0.403958797454834,0,"[117.0, -0.0, 249.0, -0.0, 40.0, -0.0]"
0,63,26689027.035384685,26689027.03538469,26689027.03538469,47,47,0,0.6679515838623047,0.2943456172943115,0.37360596656799316,0,"[86.0, 1.0, 247.0, -0.0, 48.0, -0.0]"
0,64,28782656.261584196,28782656.261584193,28782656.261584193,47,47,0,0.6740527153015137,0.2901289463043213,0.3839237689971924,0,"[85.0, -0.0, 246.0, -0.0, 50.0, -0.0]"
0,65,31761084.96576832,31761084.965768304,31761084.965768307,44,44,0,0.5899765491485596,0.2235879898071289,0.36638855934143066,0,"[98.0, 9.0, 252.0, -0.0, 63.0, -0.0]"
